generics,dosage_strengths,indications,instructions,warnings,_class_key
Amlodipine,2.5 mg,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine
แอมโลดิพีน,2.5 mg,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine
แอมโลดิพีน เบซิเลต,2.5 mg,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine เบซิเลต
Amlodipine Besylate,2.5 mg,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine
Amlodipine Besilate,2.5 mg,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine
Amlodipine,2.5 milligram,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine
แอมโลดิพีน,2.5 milligram,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine
แอมโลดิพีน เบซิเลต,2.5 milligram,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine เบซิเลต
Amlodipine Besylate,2.5 milligram,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine
Amlodipine Besilate,2.5 milligram,"ความดันโลหิตสูง (Hypertension), โรคหลอดเลือดหัวใจตีบ (Angina Pectoris), โรคหลอดเลือดหัวใจตีบที่ได้รับการวินิจฉัยแล้ว (CAD)","6-17 ปี (ความดันโลหิตสูง),  ผู้สูงอายุ ผู้ป่วยเฉพาะ (โรคเกี่ยวกับตับ,ร่างการเปราะบาง) : 1 ครั้ง/วัน",ห้ามใช้ในผู้ที่มีภาวะ ความดันโลหิตต่ำรุนแรง หรือภาวะช็อก ควรใช้ด้วยความระมัดระวังในผู้ป่วย โรคตับ หรือมีภาวะตับบกพร่อง,amlodipine
